date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:15	2983/2983	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:40%20GMT	https://static.wixstatic.com/media/80aa96_a779f1607c764c8da3bfe9180c74b893~mv2.jpg/v1/fill/w_98,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_a779f1607c764c8da3bfe9180c74b893~mv2.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_a779f1607c764c8da3bfe9180c74b893_mv2.jpg/v1/fill/w_98,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_a779f1607c764c8da3bfe9180c74b893_mv2.jpg	(from https://www.pristinebayresorts.com/beachclub)
14:02:15	4992/4992	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:41%20GMT	https://static.wixstatic.com/media/80aa96_39f00d6fe3664cb08e6b10bd0dd5d07d~mv2.jpg/v1/fill/w_105,h_158,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_39f00d6fe3664cb08e6b10bd0dd5d07d~mv2.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_39f00d6fe3664cb08e6b10bd0dd5d07d_mv2.jpg/v1/fill/w_105,h_158,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_39f00d6fe3664cb08e6b10bd0dd5d07d_mv2.jpg	(from https://www.pristinebayresorts.com/beachclub)
14:02:15	2209/2209	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:42%20GMT	https://static.wixstatic.com/media/80aa96_d95861bf86e54223828d395b12c868b6~mv2.jpg/v1/fill/w_98,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_d95861bf86e54223828d395b12c868b6~mv2.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_d95861bf86e54223828d395b12c868b6_mv2.jpg/v1/fill/w_98,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_d95861bf86e54223828d395b12c868b6_mv2.jpg	(from https://www.pristinebayresorts.com/weddings)
14:02:16	2385/2385	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:43%20GMT	https://static.wixstatic.com/media/80aa96_dbec87522bae4ff2a9c46409b7e25218~mv2.jpg/v1/fill/w_96,h_64,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_dbec87522bae4ff2a9c46409b7e25218~mv2.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_dbec87522bae4ff2a9c46409b7e25218_mv2.jpg/v1/fill/w_96,h_64,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_dbec87522bae4ff2a9c46409b7e25218_mv2.jpg	(from https://www.pristinebayresorts.com/weddings)
14:02:16	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2020:02:19%20GMT	https://www.pristinebayresorts.com/media/emptystate.85a4add5.svg	C:/My%20Web%20Sites/Pristine%20Bay/www.pristinebayresorts.com/media/emptystate.85a4add5.2f.delayed	(from https://www.pristinebayresorts.com/gallery)
14:02:16	44309/44309	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:42%20GMT	https://static.wixstatic.com/media/80aa96_75479e212d9f44ad9467c631f721fab1~mv2.jpeg/v1/fill/w_456,h_603,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/WhatsApp%20Image%202021-12-15%20at%206_04_16%20PM%20(1).jpeg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_75479e212d9f44ad9467c631f721fab1_mv2.jpeg/v1/fill/w_456,h_603,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/WhatsApp%20Image%202021-12-15%20at%206_04_16%20PM%20(1).jpg	(from https://www.pristinebayresorts.com/weddings)
14:02:16	3814/3814	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:43%20GMT	https://static.wixstatic.com/media/80aa96_2ff6d8195b764087bcb6ea858bb3aeec~mv2.jpg/v1/fill/w_113,h_141,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/250113533_4553377971449406_142052991383375153_n.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_2ff6d8195b764087bcb6ea858bb3aeec_mv2.jpg/v1/fill/w_113,h_141,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/250113533_4553377971449406_142052991383375153_n.jpg	(from https://www.pristinebayresorts.com/weddings)
14:02:17	4499/4499	U-----	200	untouched ('')	image/png	date:Tue,%2018%20Apr%202023%2019:55:44%20GMT	https://static.wixstatic.com/media/80aa96_4b3e067e026648539de3283ae486f628~mv2.png/v1/fill/w_62,h_24,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_4b3e067e026648539de3283ae486f628~mv2.png	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_4b3e067e026648539de3283ae486f628_mv2.png/v1/fill/w_62,h_24,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_4b3e067e026648539de3283ae486f628_mv2.png	(from https://www.pristinebayresorts.com/meetings)
14:02:17	2817/2817	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:44%20GMT	https://static.wixstatic.com/media/80aa96_d50e60e3b9bd4383b0bbddb9d8557c2b~mv2.jpg/v1/fill/w_117,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_d50e60e3b9bd4383b0bbddb9d8557c2b~mv2.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_d50e60e3b9bd4383b0bbddb9d8557c2b_mv2.jpg/v1/fill/w_117,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/80aa96_d50e60e3b9bd4383b0bbddb9d8557c2b_mv2.jpg	(from https://www.pristinebayresorts.com/meetings)
14:02:17	2537/2537	U-----	200	untouched ('')	image/jpeg	date:Tue,%2018%20Apr%202023%2019:55:44%20GMT	https://static.wixstatic.com/media/80aa96_c02c1d06198e4d5084c88da3ca4d3ca1~mv2.jpg/v1/fill/w_108,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/PHOTO-2021-11-20-13-47-14_1.jpg	C:/My%20Web%20Sites/Pristine%20Bay/static.wixstatic.com/media/80aa96_c02c1d06198e4d5084c88da3ca4d3ca1_mv2.jpg/v1/fill/w_108,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/PHOTO-2021-11-20-13-47-14_1.jpg	(from https://www.pristinebayresorts.com/meetings)
